AREA,state,FU,REG,MUX,DEC,pin_pair,net,max,min,ave,MISC,MEM,CP_delay,sim,Pmax,Pmin,Pave,Latency,BlockMemoryBit,DSP,FU,ATTR,ARRAY_1,LOOP_1,LOOP_2,Attr
3242,5,1729,666,835,0,6703,3101,5,5,5.00,12,0,1.49ns,-,-,-,-,17,-,-,100,Cyber,array=EXPAND,array_index=const,folding=1,folding=1,ATTR=Cyber;ARRAY_1=array=EXPAND,array_index=const;LOOP_1=folding=1;LOOP_2=folding=1;100
669,10,114,348,185,0,1409,584,10,10,10.00,22,-,1.1225ns,-,-,-,-,10,-,-,-100,Cyber,array=RAM,unroll_times=all,unroll_times=all,ATTR=Cyber;ARRAY_1=array=RAM;LOOP_1=unroll_times=all;LOOP_2=unroll_times=all;-100
1060,2,262,648,147,0,1585,735,2,2,2.00,3,0,1.858ns,-,-,-,-,8,-,-,-100,Cyber,array=REG,unroll_times=4,folding=0,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=4;LOOP_2=folding=0;-100
699,5,273,312,85,0,1249,615,6,6,6.00,29,-,1.5501ns,-,-,-,-,24,-,-,50,Cyber,array=RAM,folding=1,folding=0,ATTR=Cyber;ARRAY_1=array=RAM;LOOP_1=folding=1;LOOP_2=folding=0;50
1269,6,315,678,239,14,2184,1003,6,6,6.00,23,0,2.303ns,-,-,-,-,15,-,-,0,Cyber,array=REG,unroll_times=3,folding=0,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=3;LOOP_2=folding=0;0
1346,7,124,546,657,0,2944,1130,7,7,7.00,19,0,1.0725ns,-,-,-,-,13,-,-,-100,Cyber,array=EXPAND,array_index=const,folding=1,unroll_times=all,ATTR=Cyber;ARRAY_1=array=EXPAND,array_index=const;LOOP_1=folding=1;LOOP_2=unroll_times=all;-100
1177,5,273,666,204,14,1955,896,5,5,5.00,20,0,1.678ns,-,-,-,-,17,-,-,-50,Cyber,array=REG,folding=1,folding=1,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=folding=1;LOOP_2=folding=1;-50
1078,3,384,510,158,14,1893,880,3,3,3.00,12,0,1.405ns,-,-,-,-,9,-,-,50,Cyber,array=REG,folding=0,unroll_times=all,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=folding=0;LOOP_2=unroll_times=all;50
727,10,274,324,111,0,1439,654,10,10,10.00,18,-,1.645ns,-,-,-,-,10,-,-,50,Cyber,array=RAM,unroll_times=all,unroll_times=all,ATTR=Cyber;ARRAY_1=array=RAM;LOOP_1=unroll_times=all;LOOP_2=unroll_times=all;50
1023,3,384,462,150,14,1823,848,3,3,3.00,13,0,1.405ns,-,-,-,-,9,-,-,0,Cyber,array=REG,folding=1,unroll_times=all,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=folding=1;LOOP_2=unroll_times=all;0
1161,9,162,648,310,14,2212,970,9,9,9.00,27,0,1.1225ns,-,-,-,-,12,-,-,-100,Cyber,array=REG,unroll_times=3,unroll_times=all,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=3;LOOP_2=unroll_times=all;-100
1269,6,315,678,239,14,2184,1003,6,6,6.00,23,0,2.303ns,-,-,-,-,15,-,-,-100,Cyber,array=REG,unroll_times=3,folding=0,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=3;LOOP_2=folding=0;-100
1109,3,262,660,181,0,1752,802,3,3,3.00,6,0,1.458ns,-,-,-,-,9,-,-,-100,Cyber,array=REG,unroll_times=4,folding=1,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=4;LOOP_2=folding=1;-100
717,11,262,312,112,0,1421,680,11,11,11.00,31,-,1.5501ns,-,-,-,-,23,-,-,0,Cyber,array=RAM,unroll_times=all,folding=0,ATTR=Cyber;ARRAY_1=array=RAM;LOOP_1=unroll_times=all;LOOP_2=folding=0;0
